"SYMBOL 
","OPEN 
","HIGH 
","LOW 
","PREV. CLOSE 
","LTP 
","CHNG 
","%CHNG 
","VOLUME 
(shares)","VALUE 
 (₹ Crores)","52W H 
","52W L 
","30 D   %CHNG 
","365 D % CHNG 
 21-Jun-2023"
"NIFTY 500","22,392.60","22,393.30","22,333.50","22,305.10","22,342.45","37.35","0.17","1,38,17,83,255","40,676.82","22,406.30","15,995.10","5.27","37.34"
"RAILTEL","436.65","488.50","436.25","434.45","483.70","49.25","11.34","2,35,40,320","1,104.91","491.45","123.00","0.33","236.52"
"MAPMYINDIA","2,530.00","2,747.85","2,509.70","2,409.65","2,609.00","199.35","8.27","26,56,836","700.55","2,747.85","1,168.55","20.45","97.33"
"RAYMOND","2,410.00","2,695.00","2,406.25","2,405.80","2,590.10","184.30","7.66","10,72,442","279.73","2,695.00","1,487.60","6.58","39.15"
"CERA","8,300.00","8,998.80","8,300.00","8,295.45","8,920.00","624.55","7.53","81,138","71.40","9,740.00","6,591.20","16.47","4.25"
"RVNL","385.60","417.40","384.00","387.30","413.20","25.90","6.69","3,23,27,176","1,303.30","425.00","117.05","13.33","212.84"
"IRCON","266.00","285.95","266.00","267.00","284.30","17.30","6.48","2,07,94,741","583.29","301.45","79.00","-7.85","211.19"
"GICRE","397.00","418.00","391.25","387.75","410.45","22.70","5.85","36,05,979","146.57","467.80","178.60","12.49","108.41"
"HAPPSTMNDS","896.00","956.00","896.00","882.25","929.40","47.15","5.34","34,82,937","327.29","1,023.00","741.00","8.85","-12.22"
"MASTEK","2,725.00","2,859.95","2,725.00","2,681.40","2,812.00","130.60","4.87","2,01,596","56.81","3,145.00","1,890.00","7.96","35.06"
"ZENSARTECH","730.00","782.50","728.50","720.90","755.40","34.50","4.79","26,67,427","203.14","782.50","376.00","19.07","77.13"
"RITES","695.00","734.00","695.00","700.40","732.10","31.70","4.53","21,22,764","153.27","825.95","364.80","-5.31","80.12"
"GRANULES","473.00","495.80","472.30","472.30","492.25","19.95","4.22","25,43,525","124.41","495.80","281.35","15.45","62.33"
"IRFC","172.40","180.50","171.60","172.30","179.53","7.23","4.20","4,51,88,283","801.96","200.00","31.95","-3.98","421.33"
"IDEA","16.61","17.24","16.54","16.53","17.21","0.68","4.11","40,22,47,183","683.02","18.40","7.15","21.99","113.29"
"BBTC","1,637.90","1,731.45","1,637.00","1,622.00","1,685.55","63.55","3.92","1,34,196","22.86","1,839.95","970.05","4.08","54.92"
"VIPIND","478.00","494.00","475.05","472.05","490.05","18.00","3.81","6,00,915","29.33","722.85","428.50","-10.55","-27.10"
"FSL","204.00","212.40","204.00","201.84","209.31","7.47","3.70","38,33,264","80.50","228.90","122.15","2.69","54.67"
"GPPL","200.46","209.80","200.20","200.04","207.25","7.21","3.60","34,25,858","70.84","225.35","111.85","-5.08","73.57"
"TITAGARH","1,496.00","1,562.30","1,495.45","1,495.10","1,548.65","53.55","3.58","15,62,251","239.88","1,594.25","457.60","19.95","218.78"
"LATENTVIEW","504.00","526.70","504.00","502.05","520.00","17.95","3.58","2,81,067","14.66","567.10","342.05","3.88","-"
"SUZLON","51.20","53.00","51.00","50.53","52.28","1.75","3.46","5,74,23,685","299.64","53.00","13.25","-","260.93"
"NBCC","164.10","173.00","164.00","163.36","168.75","5.39","3.30","3,13,83,944","532.62","176.85","38.20","9.82","299.90"
"SAIL","154.60","159.30","153.91","154.03","159.04","5.01","3.25","3,43,40,116","539.00","175.35","81.80","-11.65","79.42"
"ECLERX","2,400.00","2,512.00","2,385.05","2,375.10","2,452.20","77.10","3.25","1,36,596","33.80","2,828.00","1,582.00","1.33","37.02"
"AFFLE","1,240.95","1,304.00","1,240.95","1,240.85","1,280.90","40.05","3.23","6,83,199","88.07","1,336.90","988.15","2.22","10.84"
"PVRINOX","1,384.05","1,428.75","1,382.95","1,383.75","1,428.00","44.25","3.20","4,11,716","58.27","1,875.45","1,204.20","2.55","-0.32"
"KEI","4,450.00","4,580.00","4,392.30","4,422.25","4,563.65","141.40","3.20","2,25,643","102.02","5,039.70","2,222.10","6.99","97.38"
"JSWINFRA","303.50","316.75","301.30","302.90","312.50","9.60","3.17","25,62,370","79.66","316.75","142.20","9.21","-"
"KPITTECH","1,574.70","1,638.65","1,555.35","1,552.60","1,600.05","47.45","3.06","15,84,383","254.98","1,764.00","961.00","3.70","46.04"
"ASTRAL","2,247.50","2,300.90","2,228.45","2,211.55","2,278.20","66.65","3.01","4,34,037","98.82","2,352.00","1,740.00","6.42","11.39"
"NIACL","255.30","263.25","252.68","251.09","258.57","7.48","2.98","50,15,196","129.57","324.70","113.90","8.39","108.29"
"3MINDIA","37,300.00","38,258.45","37,093.00","37,036.55","38,115.00","1,078.45","2.91","3,904","14.77","39,876.10","26,512.00","17.45","35.92"
"IRCTC","1,018.80","1,046.00","1,016.10","1,015.60","1,043.70","28.10","2.77","19,08,085","197.88","1,138.90","614.35","-8.96","53.33"
"INDIAMART","2,637.90","2,700.00","2,627.15","2,614.65","2,686.05","71.40","2.73","1,68,881","45.25","3,335.55","2,230.00","0.37","-12.57"
"DEVYANI","171.64","174.59","170.01","168.27","172.79","4.52","2.69","53,99,612","92.98","227.50","142.25","10.34","-11.92"
"SWSOLAR","740.00","766.80","738.05","737.30","757.00","19.70","2.67","3,36,616","25.42","828.00","253.00","-7.09","138.61"
"JUSTDIAL","1,024.65","1,056.00","1,022.20","1,020.25","1,047.15","26.90","2.64","1,36,140","14.16","1,162.00","693.05","7.03","31.75"
"BAYERCROP","6,250.00","6,635.35","6,250.00","6,210.80","6,371.65","160.85","2.59","53,925","35.05","6,635.35","4,256.05","8.63","43.68"
"PERSISTENT","3,950.00","4,102.30","3,935.00","3,898.35","3,997.65","99.30","2.55","8,59,679","347.00","4,102.30","1,158.59","10.94","-21.04"
"USHAMART","398.10","407.55","395.60","392.60","402.50","9.90","2.52","6,43,487","25.88","423.95","252.80","14.46","38.83"
"LTTS","4,920.10","5,020.00","4,920.10","4,874.35","4,997.00","122.65","2.52","2,27,427","113.47","5,873.35","3,755.25","8.73","21.97"
"TV18BRDCST","42.79","44.24","42.77","42.69","43.76","1.07","2.51","42,12,501","18.42","68.70","37.05","-0.26","5.67"
"TRITURBINE","590.00","605.90","590.00","591.00","605.75","14.75","2.50","2,92,463","17.49","676.10","312.00","-0.35","45.23"
"NAUKRI","6,332.95","6,495.00","6,332.95","6,282.90","6,437.75","154.85","2.46","1,49,518","96.30","6,545.00","3,972.05","-1.91","40.43"
"LTIM","5,200.00","5,273.85","5,147.50","5,052.45","5,175.45","123.00","2.43","7,63,915","398.32","6,442.00","4,513.55","6.80","1.04"
"EPL","192.75","196.92","191.77","192.05","196.66","4.61","2.40","3,76,499","7.32","236.15","169.60","-1.51","-7.69"
"HONASA","428.25","439.90","424.70","426.30","436.45","10.15","2.38","3,49,413","15.19","511.00","256.30","0.42","-"
"KSB","4,679.90","4,768.20","4,651.30","4,639.75","4,750.15","110.40","2.38","9,801","4.64","5,190.00","2,013.35","-0.76","113.80"
"LXCHEM","265.95","271.20","264.76","262.99","269.20","6.21","2.36","26,09,827","70.02","320.95","220.00","2.49","-0.81"
"SYRMA","482.45","496.00","482.45","479.90","491.20","11.30","2.35","3,96,712","19.52","705.20","386.10","14.82","8.29"
"VAIBHAVGBL","327.50","338.70","327.00","325.80","333.45","7.65","2.35","3,15,426","10.55","542.40","262.65","-14.21","3.23"
"BHARTIARTL","1,384.95","1,417.60","1,372.85","1,381.15","1,413.55","32.40","2.35","44,90,091","630.03","1,455.95","830.40","2.74","64.62"
"HAPPYFORGE","1,212.95","1,247.00","1,212.00","1,207.65","1,235.85","28.20","2.34","42,261","5.18","1,251.00","813.20","14.76","-"
"PRINCEPIPE","686.00","697.30","685.95","679.10","694.70","15.60","2.30","79,427","5.51","776.00","521.35","5.89","2.28"
"NAM-INDIA","653.00","674.80","652.95","652.95","667.90","14.95","2.29","5,77,567","38.50","674.80","248.75","8.86","156.21"
"LEMONTREE","147.94","152.75","147.61","146.99","150.27","3.28","2.23","27,42,477","41.36","158.00","89.90","-1.97","53.76"
"CYIENT","1,884.75","1,923.80","1,884.75","1,870.50","1,892.45","39.95","2.16","4,48,573","85.30","2,458.95","1,392.10","6.44","27.61"
"BALAMINES","2,425.00","2,507.00","2,419.15","2,397.45","2,448.55","51.10","2.13","2,30,947","56.90","2,735.00","1,960.00","5.93","-0.13"
"RECLTD","509.50","522.30","505.15","506.70","517.30","10.60","2.09","61,63,001","317.89","607.80","155.20","-7.36","209.25"
"INFY","1,545.00","1,557.75","1,536.05","1,515.40","1,547.00","31.60","2.09","55,26,729","856.23","1,733.00","1,262.25","5.67","16.63"
"POWERINDIA","11,110.50","11,217.15","10,971.90","10,973.25","11,201.05","227.80","2.08","18,235","20.27","12,379.60","3,895.90","1.30","163.71"
"COFORGE","5,422.25","5,520.00","5,387.75","5,315.95","5,426.10","110.15","2.07","6,54,674","358.59","6,847.45","4,287.25","10.98","15.44"
"FACT","1,130.00","1,187.00","1,062.10","1,090.35","1,112.40","22.05","2.02","63,59,842","717.31","1,187.00","406.00","55.44","163.56"
"JWL","695.80","709.25","692.70","692.20","706.15","13.95","2.02","11,26,324","79.16","727.85","148.45","30.80","348.03"
"OIL","690.30","701.00","685.10","685.05","698.80","13.75","2.01","10,12,050","70.28","709.00","240.80","3.17","172.98"
"APLAPOLLO","1,584.50","1,626.15","1,581.00","1,579.70","1,611.20","31.50","1.99","2,74,316","44.32","1,800.00","1,298.00","-8.05","18.34"
"RBA","107.30","109.00","106.65","106.46","108.55","2.09","1.96","6,79,311","7.33","137.70","91.50","2.32","-7.39"
"NATIONALUM","192.34","196.75","191.00","191.29","195.00","3.71","1.94","95,77,324","186.34","206.30","80.65","-3.90","127.59"
"ENGINERSIN","258.80","264.13","258.60","257.68","262.60","4.92","1.91","21,59,213","56.52","289.90","112.05","-5.54","115.81"
"DOMS","1,967.15","2,037.00","1,967.15","1,966.60","2,004.05","37.45","1.90","38,559","7.75","2,134.50","1,225.60","9.50","-"
"GMMPFAUDLR","1,331.00","1,356.00","1,331.00","1,330.80","1,355.90","25.10","1.89","28,276","3.80","1,897.95","1,143.10","-4.84","-13.29"
"CAMS","3,519.00","3,654.00","3,516.15","3,516.20","3,582.15","65.95","1.88","1,44,221","52.00","3,685.95","2,132.00","3.50","60.73"
"HUDCO","283.45","293.25","282.65","282.30","287.50","5.20","1.84","1,23,26,373","356.59","300.00","56.90","4.56","368.55"
"JYOTHYLAB","441.80","451.80","439.65","439.90","447.95","8.05","1.83","1,97,966","8.85","554.00","209.00","1.84","103.75"
"STLTECH","136.60","141.11","136.19","136.52","139.01","2.49","1.82","18,37,361","25.57","179.05","109.50","3.31","-9.56"
"CELLO","889.00","910.00","884.15","889.30","905.40","16.10","1.81","84,551","7.57","963.80","711.20","-3.47","-"
"GILLETTE","7,390.10","7,537.45","7,346.75","7,399.25","7,532.75","133.50","1.80","8,898","6.64","7,999.00","4,522.00","8.68","62.62"
"TCS","3,827.00","3,877.80","3,827.00","3,787.25","3,854.55","67.30","1.78","12,47,221","481.02","4,254.75","3,173.00","-0.86","16.24"
"VGUARD","413.00","421.00","412.15","412.15","419.40","7.25","1.76","2,09,760","8.76","421.00","256.80","10.11","56.65"
"METROPOLIS","1,949.00","1,989.90","1,945.00","1,946.35","1,980.55","34.20","1.76","87,320","17.25","2,067.95","1,296.00","2.29","33.67"
"ASTERDM","342.00","368.75","341.00","356.25","362.50","6.25","1.75","1,14,07,016","407.41","558.00","278.00","-0.77","23.44"
"APLLTD","847.90","862.00","847.75","845.30","860.00","14.70","1.74","1,40,915","12.11","1,094.00","600.50","-11.00","37.35"
"ABBOTINDIA","26,999.00","27,437.50","26,960.00","26,905.35","27,371.95","466.60","1.73","3,026","8.25","29,638.95","22,000.00","1.76","18.64"
"SONATSOFTW","610.05","635.90","610.05","602.60","613.05","10.45","1.73","15,44,078","96.44","870.00","469.60","14.92","-40.62"
"HINDALCO","680.00","688.30","677.00","676.50","687.80","11.30","1.67","22,24,527","152.11","715.25","407.45","-2.47","60.71"
"SAPPHIRE","1,579.20","1,610.35","1,558.40","1,576.30","1,602.40","26.10","1.66","40,091","6.37","1,680.00","1,213.00","11.20","10.98"
"HCLTECH","1,462.00","1,481.95","1,456.05","1,443.45","1,466.95","23.50","1.63","19,03,619","279.79","1,697.35","1,087.05","7.57","23.32"
"PNCINFRA","464.35","474.10","464.35","464.35","471.90","7.55","1.63","2,64,550","12.43","574.80","310.10","1.42","40.95"
"TVSMOTOR","2,440.00","2,468.65","2,425.05","2,427.95","2,466.95","39.00","1.61","2,08,230","51.00","2,519.00","1,289.00","12.62","79.73"
"KAYNES","3,823.00","3,863.55","3,798.70","3,790.00","3,849.85","59.85","1.58","38,351","14.73","4,030.00","1,461.10","11.59","137.13"
"TORNTPHARM","2,858.10","2,904.75","2,852.75","2,858.10","2,896.75","44.65","1.57","42,474","12.24","2,980.00","1,772.05","6.58","53.48"
"POLYCAB","7,010.00","7,098.60","6,947.15","6,956.45","7,062.30","105.85","1.52","1,39,143","98.04","7,174.75","3,379.75","3.93","103.50"
"ALLCARGO","63.00","63.55","62.88","62.34","63.28","0.94","1.51","9,91,520","6.27","98.00","61.30","-12.26","-78.35"
"INDIACEM","233.97","237.70","229.70","233.15","236.65","3.50","1.50","56,24,451","131.99","277.00","172.55","10.73","0.71"
"ROUTE","1,512.85","1,549.00","1,512.85","1,517.15","1,539.85","22.70","1.50","15,486","2.38","1,759.90","1,386.05","5.08","-6.12"
"MPHASIS","2,463.50","2,489.00","2,444.90","2,420.95","2,455.45","34.50","1.43","10,43,409","257.97","2,837.60","1,807.60","2.04","29.00"
"PFC","487.00","493.35","481.50","481.35","488.20","6.85","1.42","65,97,265","322.40","559.00","158.48","2.61","130.53"
"HEROMOTOCO","5,481.00","5,585.35","5,475.55","5,504.60","5,582.60","78.00","1.42","1,82,130","100.62","5,894.55","2,765.00","8.92","94.95"
"CRAFTSMAN","4,850.10","5,004.00","4,850.10","4,845.55","4,914.00","68.45","1.41","62,181","30.57","5,513.65","3,782.05","10.52","21.18"
"ESCORTS","4,180.00","4,255.00","4,180.00","4,188.65","4,247.80","59.15","1.41","38,219","16.11","4,353.20","2,117.20","7.75","92.48"
"CIEINDIA","570.00","579.00","570.00","568.45","576.45","8.00","1.41","74,465","4.28","589.00","406.80","13.63","10.77"
"ERIS","1,031.80","1,050.70","1,031.80","1,031.80","1,046.30","14.50","1.41","11,350","1.19","1,066.30","655.55","13.64","54.35"
"MTARTECH","1,884.75","1,934.90","1,869.05","1,878.70","1,905.00","26.30","1.40","2,76,897","53.02","2,920.35","1,600.00","-10.98","-5.69"
"GPIL","1,096.80","1,110.00","1,089.65","1,089.65","1,104.70","15.05","1.38","98,777","10.89","1,174.50","461.55","16.64","120.09"
"AUROPHARMA","1,245.00","1,262.30","1,245.00","1,243.20","1,259.90","16.70","1.34","1,51,433","18.98","1,292.10","665.75","2.05","82.29"
"ABFRL","317.05","323.95","314.45","317.05","321.30","4.25","1.34","10,84,219","34.67","335.25","192.95","12.67","49.41"
"COALINDIA","483.15","491.40","479.00","483.15","489.50","6.35","1.31","30,01,403","146.12","527.40","223.25","-1.53","111.49"
"RAJESHEXPO","292.00","298.25","289.80","289.80","293.55","3.75","1.29","3,44,343","10.18","590.00","261.00","-3.38","-47.81"
"TECHM","1,408.00","1,440.30","1,405.15","1,393.10","1,411.05","17.95","1.29","22,68,018","323.24","1,440.30","1,082.30","5.23","24.40"
"BHEL","294.00","299.75","291.50","293.40","297.15","3.75","1.28","95,07,706","280.55","322.50","83.30","-8.08","237.63"
"TANLA","960.00","970.75","955.35","945.55","957.60","12.05","1.27","1,82,870","17.61","1,317.95","782.05","6.75","-10.14"
"GLENMARK","1,241.25","1,260.60","1,241.25","1,241.25","1,256.85","15.60","1.26","1,28,060","16.04","1,264.00","621.80","19.99","93.03"
"WIPRO","497.95","500.95","494.60","490.40","496.55","6.15","1.25","54,96,203","273.77","545.90","375.05","6.40","27.21"
"LTF","184.90","186.70","183.00","183.65","185.95","2.30","1.25","51,70,894","95.44","186.70","114.95","15.61","-"
"BSOFT","696.00","701.45","690.70","687.95","696.30","8.35","1.21","31,56,472","220.09","861.85","335.05","15.62","102.61"
"BRIGADE","1,343.70","1,370.55","1,338.15","1,340.55","1,356.75","16.20","1.21","64,533","8.76","1,440.00","550.10","11.18","128.57"
"MAXHEALTH","948.00","979.90","945.85","934.80","946.00","11.20","1.20","12,73,074","122.11","979.90","508.50","11.95","61.34"
"KAJARIACER","1,348.25","1,365.95","1,341.95","1,346.35","1,362.40","16.05","1.19","89,156","12.12","1,523.80","1,110.35","3.82","4.47"
"HAVELLS","1,832.55","1,841.45","1,818.05","1,818.30","1,839.85","21.55","1.19","5,29,424","96.92","1,985.40","1,232.85","-2.60","35.75"
"PETRONET","314.95","319.80","313.60","314.20","317.90","3.70","1.18","13,14,526","41.70","327.85","191.70","1.81","39.09"
"MOTHERSON","186.00","188.74","183.31","185.43","187.58","2.15","1.16","1,05,99,970","197.36","188.74","81.35","40.90","115.99"
"CANFINHOME","860.00","874.10","850.05","862.50","872.45","9.95","1.15","1,98,653","17.14","909.80","680.00","15.79","15.90"
"IPCALAB","1,128.00","1,143.80","1,124.05","1,125.45","1,138.35","12.90","1.15","3,51,498","39.85","1,374.60","691.20","-13.89","52.66"
"ARE&M","1,419.70","1,465.35","1,415.00","1,401.00","1,417.05","16.05","1.15","14,75,364","212.19","1,538.60","599.00","21.14","-"
"MGL","1,505.45","1,529.00","1,484.00","1,506.70","1,523.90","17.20","1.14","2,94,786","44.58","1,580.00","970.55","16.11","44.98"
"JINDALSAW","565.00","580.75","563.40","565.00","571.25","6.25","1.11","4,16,597","24.00","598.00","228.30","3.53","135.07"
"LUPIN","1,552.00","1,579.10","1,543.00","1,555.70","1,572.70","17.00","1.09","3,32,456","52.01","1,728.00","829.05","-7.61","77.78"
"CESC","150.21","153.25","150.05","150.08","151.72","1.64","1.09","9,65,109","14.68","157.65","70.80","1.99","105.45"
"SYNGENE","717.00","722.95","715.05","713.10","720.85","7.75","1.09","3,86,634","27.83","860.25","607.65","2.69","-4.34"
"INTELLECT","1,040.00","1,058.85","1,038.95","1,033.05","1,044.25","11.20","1.08","70,028","7.36","1,199.00","572.00","15.37","67.01"
"SUNTV","774.90","783.60","771.00","770.95","779.30","8.35","1.08","3,64,515","28.37","792.60","423.00","15.49","74.19"
"NLCINDIA","231.65","235.45","231.55","231.51","233.96","2.45","1.06","8,90,220","20.81","293.75","95.90","-5.97","132.44"
"DRREDDY","5,971.00","6,055.00","5,955.15","5,970.80","6,033.75","62.95","1.05","89,353","53.81","6,505.90","4,890.00","3.30","21.59"
"HONAUT","55,621.90","56,978.95","55,621.90","55,424.20","56,006.45","582.25","1.05","2,950","16.62","58,994.00","34,977.70","4.01","29.95"
"SJVN","132.00","134.20","131.80","132.28","133.66","1.38","1.04","44,83,828","59.70","170.50","38.95","-10.71","225.01"
"INDHOTEL","643.85","648.00","637.90","638.40","645.00","6.60","1.03","24,46,921","157.59","648.00","371.60","12.17","60.89"
"NTPC","359.95","362.90","356.75","357.65","361.30","3.65","1.02","32,51,050","116.84","393.20","183.35","-3.86","90.75"
"LLOYDSME","739.80","747.90","738.00","735.20","742.50","7.30","0.99","75,639","5.62","774.90","492.00","2.79","-"
"CRISIL","4,170.00","4,242.00","4,159.60","4,156.80","4,197.65","40.85","0.98","13,920","5.86","5,268.50","3,660.70","-6.02","6.40"
"MANKIND","2,218.00","2,232.80","2,206.00","2,196.05","2,217.60","21.55","0.98","1,62,747","36.19","2,490.00","1,645.05","5.33","29.48"
"SUNPHARMA","1,480.10","1,488.00","1,471.00","1,471.00","1,485.00","14.00","0.95","6,34,352","93.80","1,638.85","977.30","-4.54","48.30"
"CONCOR","1,098.00","1,115.95","1,097.15","1,095.95","1,106.30","10.35","0.94","3,66,672","40.63","1,180.00","632.45","0.19","67.79"
"HBLPOWER","510.15","520.00","509.15","509.40","514.20","4.80","0.94","5,88,944","30.36","612.00","143.85","-3.60","243.38"
"GLAXO","2,540.05","2,599.35","2,539.95","2,529.85","2,553.50","23.65","0.93","27,520","7.07","2,760.00","1,377.25","7.91","76.54"
"RKFORGE","871.20","900.00","860.80","871.95","880.00","8.05","0.92","7,20,200","63.57","900.00","425.00","18.36","85.74"
"GAEL","145.79","145.79","143.56","143.56","144.86","1.30","0.91","8,32,926","12.04","210.60","117.85","-5.80","-42.31"
"FORTIS","489.20","499.95","489.20","487.75","492.10","4.35","0.89","3,33,392","16.52","509.85","298.45","5.56","57.59"
"CIPLA","1,549.90","1,562.90","1,540.15","1,544.85","1,558.50","13.65","0.88","2,53,090","39.24","1,582.00","985.65","7.11","53.12"
"JINDALSTEL","1,065.00","1,069.50","1,050.25","1,056.40","1,065.70","9.30","0.88","4,11,082","43.63","1,085.95","563.10","-1.17","81.05"
"ADANIPORTS","1,479.95","1,485.00","1,473.05","1,469.40","1,482.10","12.70","0.86","13,02,406","192.60","1,621.40","703.00","6.06","96.06"
"UNOMINDA","1,084.80","1,095.70","1,076.00","1,079.00","1,088.20","9.20","0.85","3,63,198","39.36","1,188.00","548.60","42.08","83.85"
"TATAELXSI","7,260.00","7,357.95","7,250.00","7,230.55","7,291.95","61.40","0.85","46,958","34.39","9,200.00","6,411.20","-0.12","-7.19"
"TATASTEEL","179.40","180.43","178.85","182.28","180.18","1.50","0.84","1,71,46,682","308.19","184.60","108.10","4.55","60.04"
"DIVISLAB","4,500.00","4,564.55","4,489.75","4,504.05","4,541.85","37.80","0.84","92,403","41.98","4,627.95","3,295.30","12.14","28.34"
"OBEROIRLTY","1,896.00","1,909.85","1,893.85","1,889.75","1,905.50","15.75","0.83","44,545","8.47","1,953.05","975.00","9.56","86.48"
"LAURUSLABS","432.85","437.70","432.85","432.85","436.35","3.50","0.81","2,91,629","12.71","471.00","328.15","-4.53","18.67"
"DATAPATTNS","2,963.80","3,040.00","2,948.35","2,942.90","2,966.65","23.75","0.81","2,07,758","62.19","3,443.90","1,735.00","-7.34","54.09"
"360ONE","849.60","860.00","831.10","841.25","848.00","6.75","0.80","1,13,347","9.55","900.95","419.85","7.22","91.21"
